scenario,seed,best_epoch,best_val_loss,epochs_run,runtime_seconds,early_stopping_triggered
s1_random_1_percent,42,9,0.3009147726705157,12,7.375108166015707,True
s1_random_1_percent,43,14,0.30044400178601827,17,9.765723957971204,True
s1_random_1_percent,44,13,0.30101581720455794,16,9.440745458996389,True
s2_random_5_percent,42,12,0.30117423189262404,15,8.326534082996659,True
s2_random_5_percent,43,13,0.3006406641302622,16,8.797483458009083,True
s2_random_5_percent,44,13,0.30084057500087075,16,8.744735625048634,True
s3_different_random_5_percent,42,6,0.30220474539120734,9,5.007896166993305,True
s3_different_random_5_percent,43,9,0.3013898553319098,12,6.643698333995417,True
s3_different_random_5_percent,44,9,0.3014341246925545,12,6.552407250041142,True
s4_random_10_percent,42,10,0.30138610844041946,13,6.905016584030818,True
s4_random_10_percent,43,13,0.3015671809319099,16,8.390690916974563,True
s4_random_10_percent,44,10,0.3012251030087243,13,6.859633958956692,True
s5_retention_expiry,42,8,0.302559325482199,11,5.6116921250359155,True
s5_retention_expiry,43,11,0.30174879512108643,14,6.7733976249583066,True
s5_retention_expiry,44,15,0.3011387760379488,18,8.653826707974076,True
